approved_id,KEGGID,ChEMBLID,compound_name,smiles
approved_0021,D00047,CHEMBL239243,taurine,NCCS(=O)(=O)O
approved_0022,D00049,CHEMBL573,nicotinic acid,O=C(O)c1cccnc1
approved_0023,D00050,,riboflavin,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
approved_0024,D00052,CHEMBL1200375,edetic acid,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
approved_0025,D00054,,inosine,O=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O
approved_0026,D00057,,citicoline,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
approved_0027,D00058,,gamma-aminobutyric acid,NCCCC(=O)O
approved_0028,D00059,,levodopa,NC(Cc1ccc(O)c(O)c1)C(=O)O
approved_0029,D00061,,xylitol,OCC(O)C(O)C(O)CO
approved_0030,D00062,,d-mannitol,OCC(O)C(O)C(O)C(O)CO
approved_0031,D00063,,tobramycin,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)CC1O
approved_0032,D00064,CHEMBL256087,l-menthol,CC1CCC(C(C)C)C(O)C1
approved_0033,D00066,,progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
approved_0034,D00067,,estrone,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
approved_0035,D00068,CHEMBL545,anhydrous ethanol,CCO
approved_0036,D00070,,folic acid,Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1
approved_0037,D00073,CHEMBL537,hydroquinone,Oc1ccc(O)cc1
approved_0038,D00075,,testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12
approved_0039,D00076,,norepinephrine,NCC(O)c1ccc(O)c(O)c1
approved_0040,D00077,CHEMBL720,benzyl alcohol,OCc1ccccc1
approved_0041,D00078,,propylene glycol,CC(O)CO
approved_0042,D00079,,dinoprostone,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O
approved_0043,D00081,,dinoprost,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O
approved_0044,D00086,CHEMBL33864,thioctic acid,O=C(O)CCCCC1CCSS1
approved_0045,D00087,,ubenimex,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O
approved_0046,D00088,,hydrocortisone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
approved_0047,D00089,,oxytocin,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O
approved_0048,D00094,,tretinoin,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
approved_0049,D00095,,epinephrine,CNCC(O)c1ccc(O)c(O)c1
approved_0050,D00097,CHEMBL424,salicylic acid,O=C(O)c1ccccc1O
approved_0051,D00099,CHEMBL706,cetanol,CCCCCCCCCCCCCCCCO
approved_0052,D00100,,menatetrenone,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O
approved_0053,D00103,CHEMBL2062263,tartaric acid,O=C(O)C(O)C(O)C(=O)O
approved_0054,D00104,,chloramphenicol,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
approved_0055,D00105,,estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
approved_0056,D00106,,epoprostenol,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21
approved_0057,D00107,,tacrolimus,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC
approved_0058,D00109,CHEMBL25,aspirin,CC(=O)Oc1ccccc1C(=O)O
approved_0059,D00110,,cocaine,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C
approved_0060,D00111,CHEMBL1200747,lactic acid,CC(O)C(=O)O
approved_0061,D00113,,atropine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
approved_0062,D00114,,fructose,O=C(CO)C(O)C(O)C(O)CO
approved_0063,D00117,,guaiacol,COc1ccccc1O
approved_0064,D00118,,naproxen,COc1ccc2cc(C(C)C(=O)O)ccc2c1
approved_0065,D00119,,stearic acid,CCCCCCCCCCCCCCCCCC(=O)O
approved_0066,D00120,,sulindac,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc([S+](C)[O-])cc1
approved_0067,D00122,,calcifediol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O
approved_0068,D00124,,ephedrine,CNC(C)C(O)c1ccccc1
approved_0069,D00125,,etoposide,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
approved_0070,D00126,CHEMBL3989408,ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1
approved_0071,D00127,CHEMBL527,piroxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
approved_0072,D00129,,calcitriol,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O
approved_0073,D00130,CHEMBL898,diflunisal,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
approved_0074,D00131,CHEMBL964,disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC
approved_0075,D00132,CHEMBL571,ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
approved_0076,D00133,CHEMBL24147,resorcin,Oc1cccc(O)c1
approved_0077,D00134,CHEMBL1483,albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
approved_0078,D00136,CHEMBL54,haloperidol,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
approved_0079,D00137,CHEMBL582,isopropanol,CC(C)O
approved_0080,D00138,,scopolamine,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12
approved_0081,D00139,CHEMBL416,methoxsalen,COc1c2occc2cc2ccc(=O)oc12
approved_0082,D00140,,erythromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
approved_0083,D00141,CHEMBL3989410,indometacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
approved_0084,D00142,,methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
approved_0085,D00144,CHEMBL614,pyrazinamide,NC(=O)c1cnccn1
approved_0086,D00145,CHEMBL2110367,trimethoprim,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC
approved_0087,D00148,,phytomenadione,CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C
approved_0088,D00151,CHEMBL686,mefenamic acid,Cc1cccc(Nc2ccccc2C(=O)O)c1C
approved_0089,D00152,CHEMBL473159,phloroglucinol,Oc1cc(O)cc(O)c1
approved_0090,D00153,,testolactone,CC12CCC3C(CCC4=CC(=O)C=CC43C)C1CCC(=O)O2
approved_0091,D00154,,santonin,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O
approved_0092,D00155,,pentostatin,OCC1OC(n2cnc3c2NC=NCC3O)CC1O
approved_0093,D00156,,enoxolone,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1
approved_0094,D00158,CHEMBL1200613,tolmetin sodium,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1
approved_0095,D00160,CHEMBL1046,aminocaproic acid,NCCCCCC(=O)O
approved_0096,D00161,,mercaptopurine hydrate,S=c1nc[nH]c2nc[nH]c12
approved_0097,D00162,CHEMBL1200584,aminosalicylic acid,Nc1ccc(C(=O)O)c(O)c1
approved_0098,D00163,,chenodeoxycholic acid,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C
approved_0099,D00164,,retinol palmitate,CCCCCCCCCCCCCCCC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C
approved_0100,D00165,,hydrocortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
approved_0101,D00167,CHEMBL1597,dimercaprol,OCC(S)CS
approved_0102,D00168,,cytarabine,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
approved_0103,D00169,CHEMBL1562610,meclofenamate sodium,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
approved_0104,D00170,,hymecromone,Cc1cc(=O)oc2cc(O)ccc12
approved_0105,D00175,,l-carbocisteine,NC(CSCC(=O)O)C(=O)O
approved_0106,D00176,,protirelin,NC(=O)C1CCCN1C(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1
approved_0107,D00177,,methylmethionine sulfonium chloride,C[S+](C)CCC(N)C(=O)O
approved_0108,D00179,,androstenediol,CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)CCC12
approved_0109,D00180,,alprostadil,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O
approved_0110,D00181,,argatroban hydrate,CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CCC(C)CC2C(=O)O)C1
approved_0111,D00182,,norethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
approved_0112,D00183,CHEMBL5,nalidixic acid,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
approved_0113,D00184,,ciclosporin,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
approved_0114,D00185,,estriol,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
approved_0115,D00186,CHEMBL8,ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
approved_0116,D00187,,ergocalciferol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
approved_0117,D00188,,colecalciferol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
approved_0118,D00189,,pregnanediol,CC(O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
approved_0119,D00193,,dexpanthenol,CC(C)(CO)C(O)C(=O)NCCCO
approved_0120,D00196,,physostigmine,CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C
approved_0121,D00197,,reserpine,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
approved_0122,D00198,,rescinnamine,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)C1OC
approved_0123,D00199,,ajmaline,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O
approved_0124,D00201,,tetracycline,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12
approved_0125,D00202,,nystatin,CC1C=CC=CCCC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC(O)C(C(=O)O)C(O)CC(=O)CC(O)C(O)CCC(O)CC(O)CC(O)CC(=O)OC(C)C(C)C1O
approved_0126,D00203,,amphotericin b,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O
approved_0127,D00204,,ampicillin,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
approved_0128,D00205,,oxytetracycline,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12
approved_0129,D00208,,mitomycin,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
approved_0130,D00209,,griseofulvin,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
approved_0131,D00210,CHEMBL9,norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21
approved_0132,D00211,,rifampicin,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
approved_0133,D00212,,vancomycin,CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O
approved_0134,D00213,,sodium fusidate,CC(=O)OC1CC2(C)C(CC(O)C3C4(C)CCC(O)C(C)C4CCC32C)C1=C(CCC=C(C)C)C(=O)O
approved_0135,D00214,,actinomycin d,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O
approved_0136,D00215,CHEMBL446061,trolamine,OCCN(CCO)CCO
approved_0137,D00216,,acarbose,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O
approved_0138,D00217,CHEMBL112,paracetamol,CC(=O)Nc1ccc(O)cc1
approved_0139,D00218,CHEMBL1200814,acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1
approved_0140,D00219,CHEMBL1589,acetohexamide,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
approved_0141,D00220,CHEMBL734,acetohydroxamic acid,CC(=O)NO
approved_0142,D00221,,acetylcysteine,CC(=O)NC(CS)C(=O)O
approved_0143,D00222,,aciclovir,Nc1nc2c(ncn2COCCO)c(=O)[nH]1
approved_0144,D00224,CHEMBL1200477,allopurinol,O=c1[nH]cnc2[nH]ncc12
approved_0145,D00225,CHEMBL661,alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
approved_0146,D00226,CHEMBL1006,amifostine,NCCCNCCSP(=O)(O)O
approved_0147,D00227,CHEMBL1200578,aminophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O
approved_0148,D00228,CHEMBL1113,amoxapine,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2
approved_0149,D00229,,amoxicilline,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O
approved_0150,D00231,CHEMBL2096642,amrinone,Nc1cc(-c2ccncc2)c[nH]c1=O
approved_0151,D00232,,octatropine methylbromide,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C
approved_0152,D00233,CHEMBL46469,dithranol,O=C1c2c(O)cccc2Cc2cccc(O)c21
approved_0153,D00234,CHEMBL296419,astemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
approved_0154,D00235,CHEMBL24,atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
approved_0155,D00236,,atovaquone,O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1
approved_0156,D00238,CHEMBL1200400,azathioprine,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12
approved_0157,D00240,,aztreonam,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
approved_0158,D00241,CHEMBL701,baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1
approved_0159,D00242,CHEMBL1374379,benzonatate,CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
approved_0160,D00244,,betamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
approved_0161,D00245,CHEMBL942,bisacodyl,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
approved_0162,D00246,,budesonide,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
approved_0163,D00247,CHEMBL1072,bumetanide,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1
approved_0164,D00248,CHEMBL820,busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O
approved_0165,D00249,,calcitonin salmon,CC(C)CC(NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CC(C)C)NC(=O)C(NC(=O)C1CSSCC(N)C(=O)NC(CO)C(=O)NC(CC(N)=O)C(=O)NC(CC(C)C)C(=O)NC(CO)C(=O)NC(C(C)O)C(=O)N1)C(C)C)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)NC(CCCNC(=N)N)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(C(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(C(=O)N1CCCC1C(N)=O)C(C)O)C(C)O)C(C)O)C(C)O
approved_0166,D00250,,capsaicin,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O
approved_0167,D00251,,captopril,CC(CS)C(=O)N1CCCC1C(=O)O
approved_0168,D00252,CHEMBL108,carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21
approved_0169,D00254,CHEMBL513,carmustine,O=NN(CCCl)C(=O)NCCCl
approved_0170,D00255,CHEMBL1201167,carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12
approved_0171,D00256,,cefaclor,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1
approved_0172,D00257,,cefadroxil,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
approved_0173,D00259,,ceforanide,NCc1ccccc1CC(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CSC12
approved_0174,D00261,,cefprozil,CC=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
approved_0175,D00262,,cefuroxime,CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(N)=O)CSC12)c1ccco1
approved_0176,D00263,,cefalexin,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1
approved_0177,D00264,,cefradine,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)C3=CCC=CC3)C2SC1
approved_0178,D00265,CHEMBL455917,chloral hydrate,OC(O)C(Cl)(Cl)Cl
approved_0179,D00266,CHEMBL515,chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
approved_0180,D00267,,chlordiazepoxide,CN=C1CN(O)C(c2ccccc2)=c2cc(Cl)ccc2=N1
approved_0181,D00268,CHEMBL1200714,chlormezanone,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
approved_0182,D00269,CHEMBL1200761,chlorotrianisene,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
approved_0183,D00270,CHEMBL1713,chlorpromazine,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
approved_0184,D00271,CHEMBL498,chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
approved_0185,D00272,CHEMBL1055,chlortalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
approved_0186,D00273,,cidofovir,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1
approved_0187,D00276,,clarithromycin,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O
approved_0188,D00277,,clindamycin,CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1
approved_0189,D00278,,clofazimine,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
approved_0190,D00279,CHEMBL565,clofibrate,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
approved_0191,D00280,CHEMBL452,clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
approved_0192,D00281,CHEMBL1705,clonidine,Clc1cccc(Cl)c1NC1=NCCN1
approved_0193,D00282,CHEMBL104,clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
approved_0194,D00283,CHEMBL42,clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
approved_0195,D00284,,tetracosactide,CSCCC(NC(=O)C(CO)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(N)CO)C(=O)NC(CCC(=O)O)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(Cc1ccc(O)cc1)C(=O)N1CCCC1C(=O)O)C(C)C)C(C)C)C(C)C
approved_0196,D00286,CHEMBL1480987,cyclandelate,CC1CC(OC(=O)C(O)c2ccccc2)CC(C)(C)C1
approved_0197,D00287,CHEMBL88,cyclophosphamide hydrate,O=P1(N(CCCl)CCCl)NCCCO1
approved_0198,D00288,,dacarbazine,CN(C)N=Nc1nc[nH]c1C(N)=O
approved_0199,D00289,,danazol,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C
approved_0200,D00290,,demethylchlortetracycline hydrochloride,CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12
approved_0201,D00293,CHEMBL12,diazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
approved_0202,D00294,CHEMBL181,diazoxide,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1
approved_0203,D00295,,cimetidine,CN=C(NC#N)NCCSCc1nc[nH]c1C
approved_0204,D00296,,didanosine,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1
approved_0205,D00297,,digitoxin,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
approved_0206,D00298,,digoxin,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
approved_0207,D00299,,dihydrotachysterol,CC1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C
approved_0208,D00300,CHEMBL1200406,diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1
approved_0209,D00301,CHEMBL1201294,atropine sulfate and diphenoxylate hydrochlorid,CCOC(=O)C1(c2ccccc2)CCN(CCC(C#N)(c2ccccc2)c2ccccc2)CC1
approved_0210,D00302,CHEMBL932,dipyridamole,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
approved_0211,D00303,CHEMBL1201020,disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
approved_0212,D00304,CHEMBL109,valproate semisodium,CCCC(CCC)C(=O)O
